N°,PLACA INTERNA,PLACA RODAJE,UNIDAD,SUB UNIDAD,TIPO DE VEHICULO,AÑO,MARCA,MODELO,Nº DE  MOTOR,Nº DE SERIE,TIPO DE COMBUSTIBLE,PROCEDENCIA,ESTADO DEL VEHICULO,ESTADO DEL ODOMETRO,FUNCION POLICIAL
220,KG-27574,EP-7946,REGPOL-LL,CRPNP ROMA,MOTOCICLETA,2023,EVANS,NEW IMPERIO 251,167FMMPD0804542,LUAHGMBB8R1000134,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
221,PG-27757,EPH-180,REGPOL-LL,CRPNP CHICAMA,CAMIONETA  PICK UP,2024,TOYOTA ,HILUX 4x4,1GD-G497428,8AJKA3CD3S3129792,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
222,KG-6166,PIK-912,REGPOL-LL,CRPNP RAZURI,CAMIONETA  PICK UP,2003,TOYOTA,HILUX 4x2,2RZ2995972,JTFDL626030007944,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
223,PG-27758,EPH-184,REGPOL-LL,CRPNP CHICLIN,CAMIONETA  PICK UP,2024,TOYOTA ,HILUX 4x4,1GD-G489264,8AJKA3CD4S3128621,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
224,KG-24562,S/N,REGPOL-LL,CRPNP CHICLIN,MOTOCICLETA,2016,BOXER,BM 150X,PFZWGJ88072,MD2A21BZ5HWJ48065,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
225,KG-24334,EP-6617,REGPOL-LL,CRPNP CARTAVIO,MOTOCICLETA,2017,YAMAHA,XT250,GEA9E009776,JYADG24E0HA007347,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
226,KG-24317,EPF-743,REGPOL-LL,CRPNP SANTIAGO DE CAO,CAMIONETA  PICK UP,2018,VOLKSWAGEN,AMAROK,CN110696,VW1ZZZ2HZJA033187,DIESEL,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
227,PL-16175,EPC-263, DIV MEDIO AMBIENTE,CRPNP MAGDALENA DE CAO,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24732579A,3N6DD23T3EK087526,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
228,KG-24344,EW-3090,REGPOL-LL,CRPNP MAGDALENA DE CAO,MOTOCICLETA,2017,YAMAHA,XT250,GEA9E009810,JYADG24E0HA007366,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
229,PL-7736,PQU-522,REGPOL-LL,CRSPNP PACASMAYO,CAMIONETA  PICK UP,2008,TOYOTA,HILUX 4x2,2KD7575725,MROER32G487003768,DIESEL,PNP,OPERATIVO,OPERAT.,PATRULLAJE
230,PL-17505,EP-3633,REGPOL-LL,CRSPNP PACASMAYO,MOTOCICLETA,2015,HONDA,CBX-250 TWISTER,MC35EE337247,8CHMC3500EP006706,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
231,PL-19244,EP-5120,REGPOL-LL,CRSPNP PACASMAYO,MOTOCICLETA,2016,HONDA,CBX-250 TWISTER,MC35E-G400245,9C2MC3508GR400245,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
232,PL-19278,EP-5048,REGPOL-LL,CRSPNP PACASMAYO,MOTOCICLETA,2016,HONDA,CBX-250 TWISTER,MC35E-G400237,9C2MC3509GR400237,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
233,PL-19456,EPC-561,REGPOL-LL,CRSPNP PACASMAYO,CAMIONETA  PICK UP,2015,NISSAN,FRONTIER,KA24-814409A,3N6DD23X6FK050068,GASOLINA,ASBANC,OPERATIVO,OPERAT.,PATRULLAJE
234,PL-15843,EPC-451,REGPOL-LL,CRSPNP PACASMAYO,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24733095A,3N6DD23T2EK087890,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
235,PL-23937,EP-6263,REGPOL-LL,CRSPNP PACASMAYO,MOTOCICLETA,2017,HONDA,XRE-300 TORNADO,ND12E1J730242,9C2ND1210JR730238,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
236,PL-16045,EPC-296,REGPOL-LL,CRSPNP PACASMAYO,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24728988A,3N6DD23T1EK084401,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
237,PL-19457,EPC-560,REGPOL-LL,CRSPNP PACASMAYO,CAMIONETA  PICK UP,2015,NISSAN,FRONTIER,KA24-813587A,3N6DD23X8FK049472,GASOLINA,ASBANC,OPERATIVO,OPERAT.,PATRULLAJE
238,KG-9906,COQ-434,REGPOL-LL,DIVINCRI DEPINCRI PACASMAYO,AUTOMOVIL,2008,NISSAN,ALMERA,QG16-229349P,KNMC4C2HM9P727991,GASOLINA,G/R,OPERATIVO,OPERAT.,PATRULLAJE
239,PL-15846,EPC-379,REGPOL-LL,DIVINCRI DEPINCRI PACASMAYO,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24733091A,3N6DD23T3EK088059,GASOLINA,PNP,OPERATIVO,OPERAT.,OPERATIVO
240,GK-26822,EPG-480,REGPOL-LL,DIVINCRI DEPINCRI PACASMAYO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x2,2GDG377729,8AJCB3DD6R3914835,DIESEL,REPOSICION DE SEGURO TODO RIESGO,OPERATIVO,OPERAT.,OPERATIVO
241,PL-7702,PQU-535,REGPOL-LL,CRPNP  SAN PEDRO DE LLOC,CAMIONETA  PICK UP,2008,TOYOTA,HILUX 4x2,2KD7571353,MROER376486000925,DIESEL,PNP,OPERATIVO,OPERAT.,OPERATIVO
242,KG-25937,EP-7172,REGPOL-LL,CRPNP  SAN PEDRO DE LLOC,MOTOCICLETA,2023,WANXIN,WX200GY-8E,WX169FML21A09572,LHJYJLLA0MB439277,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
243,KG-27384,EP-7816,REGPOL-LL,CRPNP  GUADALUPE,MOTOCICLETA,2024,HONDA,XR300,ND12E2P101532,9C2ND1220PR101568,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
244,PG-18818,S/N,REGPOL-LL,CRPNP  GUADALUPE,MOTOCICLETA,2013,SLONG,SL150-A,162FMJ12057071,LZXHDKZ17C0821771,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
245,PL-20639,EPD-422,REGPOL-LL,CRPNP  GUADALUPE,CAMIONETA  SUV,2016,SSANG YONG,REXTON,1.62995E+13,KPTG0B19SGP360628,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
246,PL-16188,EPC-166,REGPOL-LL,CRPNP  GUADALUPE,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24731387A,3N6DD23T4EK086482,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
247,TMP-2850,T4P-115,REGPOL-LL,CRPNP  GUADALUPE,AUTOMOVIL,2017,TOYOTA,ETIOS,2NR4186280,9BRB29BT3J2196352,GASOLINA,PRONABI,OPERATIVO,OPERAT.,PATRULLAJE
248,PL-14214,EP-1573,REGPOL-LL,C. RURAL ZONAL PNP CHEPEN,MOTOCICLETA,2013,HONDA ,XR-125 L,JD21E2109920,LTMJD2193E5201312,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
249,PL-16974,EP-2943,REGPOL-LL,C. RURAL ZONAL PNP CHEPEN,MOTOCICLETA,2014,HONDA,CBX-250 TWISTER,MC35EE334658,8CHMC3500EP004536,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
250,PL-11694,EPA-796,REGPOL-LL,C. RURAL ZONAL PNP CHEPEN,CAMIONETA  SUV,2013,HYUNDAI,STA. FE,G4KEDU058525,KMHST81CADU157369,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
251,PL-16049,EPC-369,REGPOL-LL,C. RURAL ZONAL PNP CHEPEN,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24729621A,3N6DD23T1EK084947,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
252,PL-15857,EPC-286,REGPOL-LL,C. RURAL ZONAL PNP CHEPEN,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24733189A,3N6DD23TXEK088012,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
253,PL-16005,EPC-288,REGPOL-LL,DIVINCRI DEPINCRI-CHEPEN,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24734256A,3N6DD23T8EK088946,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
254,KG-9976,POA-382,REGPOL-LL,CRPNP PUEBLO NUEVO,CAMIONETA  PICK UP,2008,NISSAN,FRONTIER,ZD30-208396K,JN1CNUD229X466032,DIESEL,G/R,OPERATIVO,OPERAT.,PATRULLAJE
255,KG-25648,1748-ZM,REGPOL-LL,CPNP PACANGUILLA,MOTOCICLETA,2020,LIFAN,LF 150 GY-4,161FMJL1178418,LF3UCK405LA101663,GASOLINA,MDP,OPERATIVO,OPERAT.,PATRULLAJE
256,PL-14218,EP-1610,REGPOL-LL,CPNP PACANGUILLA,MOTOCICLETA,2013,HONDA ,XR-125 L,JD21E2109352,LTMJD2193E5201228 ,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
257,PG-10960,S/P,REGPOL-LL,CPNP PACANGUILLA,CAMIONETA  PICK UP,2010,NISSAN,FRONTIER,162FMJ12057155,3N6DD23T1BK010424,GASOLINA,ASBANC,OPERATIVO,OPERAT.,PATRULLAJE
258,PL-14059,EP-1606,REGPOL-LL,CRPNP TALAMBO,MOTOCICLETA,2013,HONDA ,XR-125 L,JD21E2109547,LTMJD2198E5201080,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
259,PL-24111,EP-6562,REGPOL-LL,CRPNP PACANGA,MOTOCICLETA,2017,HONDA,XRE-300 TORNADO,ND12E1J730291,9C2ND1210JR730284,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
260,KG-25649,EW-7759,REGPOL-LL,CRPNP PACANGA,MOTOCICLETA,2020,LIFAN,LF 150 GY-4,161FMJL1178433,LF3UCK407LA101678,GASOLINA,MDP,OPERATIVO,OPERAT.,PATRULLAJE
261,PL-23895,EP-5898,REGPOL-LL,CRPNP JEQUETEPEQUE,MOTOCICLETA,2017,HONDA,XRE-300 TORNADO,ND12E1J730229,9C2ND1210JR730224,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
262,PG-25419,EP-6939,REGPOL-LL,CPNP R. C DE DIOS,MOTOCICLETA,2018,YAMAHA,FZ 250,G3H7E0046300, ME1RG4255J2009285,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
263,PL-14240,EP-1548,REGPOL-LL,CPNP R. C DE DIOS,MOTOCICLETA,2013,HONDA ,XR-125 L,JD21E2109836,LTMJD2192E5201219,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
264,PL-16199,EPC-404,REGPOL-LL,C. RURAL ZONAL PNP-JULCAN,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24730104A,3N6DD23T5EK085423,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
265,PL-16139,EPC-508,REGPOL-LL,CRS PNP OTUZCO,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24729973A,3N6DD23T8EK085304,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
266,TMP-2950,EGF-102,REGPOL-LL,CRS PNP OTUZCO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1KD5407913,MROFZ29G4B1628038,DISSEL,MPOTUZCO,OPERATIVO,OPERAT.,PATRULLAJE
267,PL-14201,EP-1692,REGPOL-LL,CRS PNP OTUZCO,MOTOCICLETA,2013,HONDA ,XR-125 L,JD21E2109997,LTMJD2195E5201425,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
268,PL-14179,EP- 1637,REGPOL-LL,CRS PNP OTUZCO,MOTOCICLETA,2013,HONDA ,XR-125 L,JD21E2109835,LTMJD2199E5201153,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
269,PL-12586,EP-0925,REGPOL-LL,CRS PNP OTUZCO,MOTOCICLETA,2012,HONDA,XR-250 TORNADO,MD34EC514570,9C2MD3400CR514570,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
270,PL-17516,EP-3703,REGPOL-LL,CRS PNP OTUZCO,MOTOCICLETA,2015,HONDA,CBX-250 TWISTER,MC35EE337659,8CHMC3500EP006887,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
271,TMP-2851,T9P-899,REGPOL-LL,CRPNP USQUIL,CAMIONETA PICK UP,2018,MITSUBISHI,L200,4D56UAT5992,MMBJNKL30JH045794,DIESEL,PRONABI,OPERATIVO,OPERAT.,PATRULLAJE
272,PL-12592,EP-0920,REGPOL-LL,CRPNP CHARAT,MOTOCICLETA,2012,HONDA,XR-250 TORNADO,MD34EC514760,9C2MD3400CR514760,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
273,KG-9974,POA-383,REGPOL-LL,OPC-HUAMACHUCO,CAMIONETA  PICK UP,2008,NISSAN,FRONTIER,ZD30-208403K,JN1CNUD229X466039,DIESEL,G/R,OPERATIVO,OPERAT.,PATRULLAJE
274,PL-15233,EPB-699,IIIMRP-LL,DIVPOL-HUAMACHUCO,CAMIONETA  PICK UP,2014,NISSAN,NAVARA,YD25552694T ,MNTCCUD40E6601491,DIESEL,PNP,OPERATIVO,OPERAT.,PATRULLAJE
275,PL-16145,EPC-412,REGPOL-LL,CRPNP HUAMACHUCO,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24731628A,3N6DD23T7EK086718,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
276,PL-19209,EP-5249,REGPOL-LL,CRPNP HUAMACHUCO,MOTOCICLETA,2016,HONDA,CBX-250 TWISTER,MC35E-G400284,9C2MC3507GR400284,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
277,PL-19219,EP-5248,REGPOL-LL,CRPNP HUAMACHUCO,MOTOCICLETA,2016,HONDA,CBX-250 TWISTER,MC35E-G400382,9C2MC3507GR400382,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
278,KG-27382,EPG-957,REGPOL-LL,CRPNP LLACUABAMBA,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GDG400832,8AJKA3CD5R3113538,DIESEL,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
279,KG-27381,EPG-939,REGPOL-LL,CRPNP RETAMAS,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GDG400927,8AJKA3CDXR3113552,DIESEL,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
280,KG-27385,EP-7827,REGPOL-LL,CRPNP CHILLIA,MOTOCICLETA,2024,HONDA,XR300,ND12E2P101510,9C2ND1220PR101585,GASOLINA,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
281,KG-27380,EPG-958,REGPOL-LL,CRPNP CHAGUAL,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GDG395942,8AJKA3CD1R3112998,DIESEL,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
282,PL-12591,EP-1009,REGPOL-LL,D.M.PNP CHUGAY,MOTOCICLETA,2013,HONDA,XR-250 TORNADO,MD34EC514759,9C2MD3400CR514759,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
283,KG-27383,EPG-961,REGPOL-LL,CRPNP VIJUS,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GDG400802,8AJKA3CD6R3113533,DIESEL,MININTER,OPERATIVO,OPERAT.,PATRULLAJE
284,PL-15274,EPB-675,REGPOL-LL,CRPNP BOLIVAR,CAMIONETA  PICK UP,2014,NISSAN,NAVARA,YD25552011T,MNTCCUD40E6601444   ,DIESEL,PNP,OPERATIVO,OPERAT.,PATRULLAJE
285,PL-12642,EP-0967,REGPOL-LL,CRPNP BOLIVAR,MOTOCICLETA,2012,HONDA,XR-250 TORNADO,MD34EC517864,9C2MD3400CR517864,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
286,PG-25948,EPG-335,REGPOL-LL,CRPNP UCHUMARCA,CAMIONETA  PICK UP,2022,SSANG YONG,MUSSO,C67296010519655,KPAX62EESPP174094,DIESEL,PIP,OPERATIVO,OPERAT.,PATRULLAJE
287,PG-25951,EP-7466,REGPOL-LL,CRPNP UCHUMARCA,MOTOCICLETA,2022,HONDA,XRE 300,ND12E2P201376,9C2ND1220PR201355,GASOLINA,PIP,OPERATIVO,OPERAT.,PATRULLAJE
288,PL-16038,EPC-169,REGPOL-LL,PAR. HUALANGA,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24730160A,3N6DD23T2EK085492,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
289,PL-14081,EP-1824,REGPOL-LL,PAR. HUALANGA,MOTOCICLETA,2013,HONDA ,XR-125 L,JD21E2109782,LTMJD2196E5201269,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
290,PL-16137,EPC-195,INSPECTORIA GENERAL,OFICINA DE DISCIPLINA TRUJILLO,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24729576A,3N6DD23T8EK084895,GASOLINA,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
291,PL-15326,EPB-799,INSPECTORIA GENERAL,INSPECT.MACRO REGIONAL LA LIBERTAD,AUTOMOVIL,2014,NISSAN,TIIDA,HR16757993H  ,3N1CC1AD4EK210194   ,GASOLINA,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
292,TMP-0843,A1C-423,INSPECTORIA GENERAL,INSPECT. REG. DECENTRALIZADA,AUTOMOVIL,2009,TOYOTA,YARIS,2NZ5556057,JTDBW933OA4040199,GASOLINA,PRONABI,OPERATIVO,OPERAT.,ADMINISTRAT.
293,DG-23134,T3X-018,ESCUELA PNP,ESCUELA SUB OF. PNP TRUJILLO,MINIBUS,2014,HYUNDAI,COUNTY,D4DDFJ573198,KMJHG17PPEC064201,DIESEL,G/R,OPERATIVO,OPERAT.,ADMINISTRAT.
294,DG-23135,T3X-030,ESCUELA PNP,ESCUELA SUB OF. PNP TRUJILLO,MINIBUS,2014,HYUNDAI,COUNTY,D4DDFJ593614,KMJHG17PPFC067219,DIESEL,G/R,OPERATIVO,OPERAT.,ADMINISTRAT.
295,DG-23137,T7Z-802,ESCUELA PNP,ESCUELA SUB OF. PNP TRUJILLO,CAMIONETA  PICK UP,2015,MAHINDRA,PIK  UP  Mhawk,MMFAJ16435,MA1TZ4MMNG2015297,DIESEL,G/R,OPERATIVO,OPERAT.,ADMINISTRAT.
296,DG-23136,T7Y-946,ESCUELA PNP,ESCUELA SUB OF. PNP TRUJILLO,CAMIONETA  PICK UP,2015,MAHINDRA,PIK  UP  Mhawk,HSF4C15470,MA1TZ2HSNF2D29457,DIESEL,G/R,OPERATIVO,OPERAT.,ADMINISTRAT.
297,PL-15878,EPC-377,DIRSAPOL PNP,REGSAPOL-LL-TRUJILLO,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24733308A,3N6DD23T1EK088111,GASOLINA,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
298,SG-11294,EUB-336,DIRSAPOL PNP,REGSAPOL-LL-TRUJILLO,AMBULANCIA,2011,PEUGEOT,BOXER,10TRJ70494942,VF3YDBMFCC2049027,DIESEL,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
299,TMP-2694,BEH-632,LAVADO DE ACTIVOS,LAVADO DE ACTIVOS,CAMIONETA  SUV,2017,HYUNDAI,NEW TUCSON,G4NAHU541053,KMHJ3813AJU638478,GASOLINA,PRONABI,OPERATIVO,OPERAT.,ADMINISTRAT.
300,TMP-2695,9024-PA,LAVADO DE ACTIVOS,LAVADO DE ACTIVOS,MOTOCICLETA,2018,BAJAJ,PULSAR 200 RS,JLYCG11858,MD2A55FY4KCG0051,GASOLINA,PRONABI,OPERATIVO,OPERAT.,ADMINISTRAT.
301,TMP-1577,C3N-447,LAVADO DE ACTIVOS,LAVADO DE ACTIVOS,AUTOMOVIL,2012,KIA,RIO NB,G4FABH019116,KNADN512AC6723448,GASOLINA,PRONABI,OPERATIVO,OPERAT.,ADMINISTRAT.
302,TMP-2063,Z3L-512,DIVIAC-TRUJILLO,DIVIAC-TRUJILLO,AUTOMOVIL,2012,TOYOTA,YARIS,2NZ6764979,JTDBW9334DL080098,GASOLINA,PRONABI,OPERATIVO,OPERAT.,ADMINISTRAT.
303,TMP-2751,BDF-866,DIVIAC-TRUJILLO,DIVIAC-TRUJILLO,CAMIONETA  PICK UP,2020,TOYOTA,HILUX 4x4,1GDG142996,8AJHA3CD5L2092584,DIESEL,PRONABI,OPERATIVO,OPERAT.,ADMINISTRAT.
304,TMP-1394,WCG-19696,DIVIAC-TRUJILLO,DIVIAC-TRUJILLO, MOTOCICLETA,2012,RTM,JIMCO150 G,162FMJC1072422,LAKPCJCJ1XCB000152,GASOLINA,PRONABI,OPERATIVO,OPERAT.,ADMINISTRAT.
305,TMP-1388,,DIVIAC-TRUJILLO,DIVIAC-TRUJILLO, MOTOCICLETA,2012,HONDA,ELITE 125,SDH1P52QMIBB3407978,LALTCJNO6C3005051,GASOLINA,PRONABI,OPERATIVO,OPERAT.,ADMINISTRAT.
306,TMP-2847,T5D-313,DIVIAC-TRUJILLO,DIVIAC-TRUJILLO,AUTOMOVIL,2020,NISSAN,VERSA,HR16357691U,3N1CN7AD7LK391253,GASOLINA,PRONABI,OPERATIVO,OPERAT.,ADMINISTRAT.
307,YG-25218,EPG-120,DIV TURISMO, DIVTURISMO-TRUJILLO,CAMIONETA  PICK UP,2019,FORD,RANGER 4X2,QJ2SLJ176706,8AFAR22NXL176706,DIESEL,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
308,YG-27377,EPG-928,DIV TURISMO, DIVTURISMO-TRUJILLO,CAMIONETA  PICK UP,2023,TOYOTA,HILUX 4x4,1GDG375350,8AJKA3CD2R3109575,DIESEL,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
309,YG-25219,EPG-103,DIV TURISMO, DIVTURISMO-TRUJILLO,CAMIONETA  PICK UP,2019,FORD,RANGER 4X2,QJ2SLJ176707,8AFAR22NXLJ176706,DIESEL,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
310,PD-14921,EPB-639,DIV TURISMO, DIVTURISMO-TRUJILLO,CAMIONETA  PICK UP,2014,MITSUBISHI,L200 4X4,4D56UCEM7754,MMBJNKB40ED011138,DIESEL,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
311,YG-26068,EP-7493,DIV TURISMO, DIVTURISMO-TRUJILLO,MOTOCICLETA,2022,YAMAHA,XTZ-250 ABS,G3F2G028749,9C6DG2923N0001835,GASOLINA,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
312,YG-26069,EP-7484,DIV TURISMO, DIVTURISMO-TRUJILLO,MOTOCICLETA,2022,YAMAHA,XTZ-250 ABS,G3F2G028670,9C6DG2924N0001844,GASOLINA,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
313,YG-26070,EP-7481,DIV TURISMO, DIVTURISMO-TRUJILLO,MOTOCICLETA,2022,YAMAHA,XTZ-250 ABS,G3F2G028758,9CGDG2924N0001908,GASOLINA,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
314,YG-26067,EP-7492,DIV TURISMO, DIVTURISMO-TRUJILLO,MOTOCICLETA,2022,YAMAHA,XTZ-250 ABS,G3F2G029986,9C6DG2923N0002130,GASOLINA,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
315,TMP-2954,T9H-861, DIV MEDIO AMBIENTE,DIV.MEDIO AMB-TRUJILLO,CAMIONETA  PICK UP,2018,TOYOTA,HILUX 4x4,1GD4393505,8AJHA8CD2J2614680,DIESEL,PRONABI,OPERATIVO,OPERAT.,ADMINISTRAT.
